unblinkingly;не моргая
to slam;хлопать (дверью)
for some reason;по какой-то причине
severe-looking;сурово выглядящий
impatiently;нетерпеливо
has much sense;явно имеет смысл
precious;драгоценный
to blame;винить
stiff;неподвижный
rumors;слухи
to seem;казаться
anxious;беспокойный
to gasp;вздохнуть в удивлении
to tremble;дрожать
beneath;под
to examine;изучить
edge;край
to swallow;глотать
