2023;01;12;19:31:04;Maths;Adding fractions (easy);5;3;min;30;sec;6;/;6;100.0%;5;
2023;01;18;20:16:31;Maths;Fractions to decimals;0;6;min;2;sec;46;/;52;88.5%;1032;
2023;01;31;20:07:31;English;Irregular verbs;0;2;min;49;sec;21;/;23;91.3%;225;
2023;01;31;20:16:40;Russian;Н и НН;0;8;min;36;sec;26;/;30;86.7%;125;
2023;02;13;15:52:41;Maths;Percent change;0;4;min;27;sec;9;/;10;90.0%;11;
2023;04;16;15:13:47;Maths;Multiply decimals;0;2;min;51;sec;7;/;10;70.0%;4;
2023;05;23;19:58:46;Maths;Multiply decimals;0;5;min;28;sec;6;/;9;66.7%;1;
2023;05;23;20:02:41;Maths;Multiply decimals;0;2;min;29;sec;10;/;10;100.0%;33;
2023;05;23;20:26:58;Maths;Multiply decimals;0;9;min;21;sec;5;/;5;100.0%;1;
2023;05;24;20:12:06;Maths;Multiply decimals;0;12;min;18;sec;7;/;10;70.0%;1;
2023;05;24;20:14:53;Maths;Multiply decimals;0;2;min;17;sec;7;/;10;70.0%;5;
2023;05;24;20:23:15;Maths;Multiply decimals;0;7;min;56;sec;9;/;10;90.0%;6;
2023;05;24;20:45:00;Maths;Multiply decimals;3;8;min;17;sec;4;/;5;80.0%;0;
2023;06;05;19:59:51;Maths;Open brackets | Close brackets;6;3;min;35;sec;4;/;5;80.0%;1;
2023;06;05;20:10:20;Maths;Open brackets | Close brackets;6;0;min;4;sec;0;/;1;0.0%;0;
2023;06;14;20:08:32;Maths;Add negatives;0;0;min;22;sec;3;/;3;100.0%;9;
2023;06;14;20:10:27;Maths;Round whole numbers;0;1;min;39;sec;1;/;3;33.3%;0;
2023;06;14;20:14:00;Maths;Round decimals;0;3;min;16;sec;3;/;3;100.0%;1;
2023;06;14;20:23:10;Maths;Multiply decimals;3;2;min;55;sec;0;/;1;0.0%;0;
2023;06;14;20:24:25;Maths;Multiply hundreds;0;0;min;56;sec;3;/;3;100.0%;2;
2023;06;14;20:26:59;Maths;Find sum;0;2;min;21;sec;2;/;3;66.7%;0;
2023;06;14;20:27:29;Maths;Powers;0;0;min;18;sec;3;/;3;100.0%;7;
2023;06;14;20:35:45;Maths;Factorization;0;7;min;58;sec;2;/;3;66.7%;0;
2023;06;14;20:40:30;Maths;Linear equation;0;4;min;9;sec;3;/;3;100.0%;1;
2023;06;14;20:49:07;Maths;Linear equation: level 2;0;6;min;4;sec;3;/;3;100.0%;0;
2023;06;14;21:00:13;Maths;Systems (easy);0;10;min;44;sec;1;/;1;100.0%;0;
2023;06;15;20:46:28;Maths;Percent change;0;1;min;20;sec;3;/;3;100.0%;2;
2023;06;19;19:52:37;Maths;Division: remainders;0;0;min;24;sec;3;/;3;100.0%;5;
2023;06;19;19:53:52;Maths;Fraction reduction;0;0;min;59;sec;3;/;3;100.0%;2;
2023;06;19;19:54:33;Maths;Fractions to decimals;0;0;min;30;sec;3;/;3;100.0%;4;
